"word","definition"
"J:"," Tarehintsoratra fahasivy ary renisoratra fahenina amin'ny abidy malagasy, mitovy fanonona amin'ny renisoratra roa dz. Ny z no miova ho j amin' ny fanakambanan-teny: Rakotra zavona = rako-jaoona"
"Jaba"," na Jabajaba p.t. sy mt. ih: Raharahaina, asiana raharaha, ahoana: Tsy jabany akory izay lazaina aminy. 1 Maizina ka mitsapatsapa vao afaka mandeha ny olona: Jaba ny andro. - t.i.f.: Jabaina / jabajaba / mijabajaba, fijabajaba, mpijabajaba / ijabajabana, fijabajabana / mahajabajaba."
"Jabaina"," (jaba) mt.ih. (jabao) p. t.: Maizina dia maizina. ~ Andehanana, irosoana am-pitandremana, tsapatsapafna: Jabao aloha sao midi-kizo ianao. 1 Raharahaina, asiana raharaha, ahoana: Tsy nojabainy akory ny tenany fa avy hatrany izy niroso tao anoloan'ny miaramila namonjy ny zanany."
"Jabilao"," a: Karazam-batomazava fanao kanety tsara tarehy."
"Jabo"," a: Lamba mandray roa fa rofia ny tenany ary vahantsoga ny fahany. * Ohab.: Mpivaro-jabo antsena ka samy mandoka ny azy ho fatratra: enti-milaza ny olona manao dokam-barotra izaitsizy ka samy manao izay ananany avy ho taira indrindra."
"Jaboady"," a.: Karazam-biby dia mitovitovy amin'ny saka fa lehibe kokoa ary be volony no somary malany."
"jaboady","karazam-biby mitovy habe amin'ny vatotra bitro, miloko mainty sy fotsy , mandefa fofona mahery hiarovany tena rehefa misy manafika.
oh: ialahy ity tena jaboady mihintsy Ahitsio"
"Jabolevona"," p.t.: Lany, very maina."
"Jabonaika:"," Jar. Bonaika."
"Jabora"," a: Tavin-kena ao anatin'ny omby, menaka tsy voaempo: Ny jabora no nanaouan'ny Malagasy teo aloha labozia. ? h.i,: Tavy, menaka: Oadray ny hatavin'iny olona iny! jabora daholo izao io mihonankonana amin' ny tenany io rehefa mande-ha izy."
"Jabora"," a.: Karazana hala maitsomaitso."
"Jadina"," p. t.: Vitsy teny, tsy be teniteny firy, mpiasabe. - t.i.f.: Mijadina, fijadina, mpijadina 1 ijadinana, fijadinana f mahajadina / jadinjadina. ¶ M. h.: Jomdka, mijombka, mijadina, jinina, mijinijiny, jahidy, mijahidy, mongena."
"Jadona"," a.: Enti-milaza fijoroana mahitsy, tsy mihetsika. ? h:o.: Teny andidiana tsy maintsy arahina, tsy azo valiana: Manao jadona izy raha miteny ka tsy tian'ny olona. - t.i.f: Jadonana, ajadona, voajadona, jinadona, tafajadona 1 manajadona, manjadona, fanajadona, fanjadona, mpanjadona, mpanajadona 1 anajadonana, anjadonana, fanajadonana, fanjadonana 1 mijadona, fijadona, mpijadona / ijadonana, fijadonana / mahajadona / jadonjadona. -  F.-p.: Manao jadona: manao teny tsy valiana; manao didy boraingona, manao teniko fe lehibe. ! Jadom-panjakana: fitondram-panjakana na fahefana tsy azo ifandinihana fa rehefa izay dia izay."
"Jadonana"," (jadona) mt, pdr. sy mt. ih. (jadony): Tsatohana: Nojadonany lefona ny tratran'ilay niady taminy ka maty teo no ho eo. ? Anaovana teny tsy valiana:Nahoana aho no jadonanao tahaka izao?"
"Jadonivo"," a.: Tsipika mijadona amin'ny afovoan'ny kantsana Iray."
"Jafa"," Jafajafa a: Fitomaniana mafy noho ny vonoana, fitsinjatsinjahana sady fimenomenonana, - t.i.f.: Ajafajafa / mijafajafa, fijafajafa, mpijafajafa 1 ijafajafana, fijafajafana / mahajafajafa."
"Jahatra"," na Jahana ft.: Niavian' ny Manjahatra na Manjahana: diso fanantenana, nanantena zavatra kanefa tsy nahazo; nanan-javatra nefs lasa foan-tanana. M.h.: Mangaina."
